IDX,TYPE,N1,N2,N3,N4,N5
1,CONTINUE,2,0,0,0,0
2,CONTINUE,3,0,0,0,0
3,CONTINUE,4,0,0,0,0
4,CHOICE,5,6,7,0,0
5,CONTINUE,8,0,0,0,0
6,CONTINUE,8,0,0,0,0
7,CONTINUE,8,0,0,0,0
8,CONTINUE,9,0,0,0,0
9,CONTINUE,10,0,0,0,0
10,CONTINUE,11,0,0,0,0
11,CHOICE,12,13,0,0,0
12,CONTINUE,14,0,0,0,0
13,CONTINUE,14,0,0,0,0
14,CONTINUE,15,0,0,0,0
15,CONTINUE,16,0,0,0,0
16,CHOICE,17,0,0,0,0
17,CONTINUE,18,0,0,0,0
18,CONTINUE,19,0,0,0,0
19,CONTINUE,20,0,0,0,0
20,CHOICE,21,0,0,0,0
21,CONTINUE,22,0,0,0,0
22,CONTINUE,23,0,0,0,0
23,CHOICE,24,25,0,0,0
24,CONTINUE,26,0,0,0,0
25,CONTINUE,26,0,0,0,0
26,CONTINUE,27,0,0,0,0
27,CHOICE,28,29,0,0,0
28,CONTINUE,30,0,0,0,0
29,CONTINUE,30,0,0,0,0
30,CONTINUE,31,0,0,0,0
31,CHOICE,32,33,0,0,0
32,CONTINUE,34,0,0,0,0
33,CONTINUE,34,0,0,0,0
34,CONTINUE,35,0,0,0,0
35,CHOICE,36,37,0,0,0
36,CONTINUE,38,0,0,0,0
37,CONTINUE,38,0,0,0,0
38,CONTINUE,39,0,0,0,0
39,CHOICE,40,41,0,0,0
40,CONTINUE,42,0,0,0,0
41,CONTINUE,42,0,0,0,0
42,CONTINUE,43,0,0,0,0
43,CHOICE,44,45,0,0,0
44,CONTINUE,46,0,0,0,0
45,CONTINUE,46,0,0,0,0
46,CONTINUE,47,0,0,0,0
47,CHOICE,48,49,0,0,0
48,CONTINUE,50,0,0,0,0
49,CONTINUE,50,0,0,0,0
50,CONTINUE,51,0,0,0,0
51,CHOICE,52,53,0,0,0
52,CONTINUE,54,0,0,0,0
53,CONTINUE,54,0,0,0,0
54,CONTINUE,55,0,0,0,0
55,CHOICE,56,57,0,0,0
56,CONTINUE,58,0,0,0,0
57,CONTINUE,58,0,0,0,0
58,CONTINUE,59,0,0,0,0
59,CHOICE,60,61,0,0,0
60,CONTINUE,62,0,0,0,0
61,CONTINUE,62,0,0,0,0
62,CONTINUE,63,0,0,0,0
63,CHOICE,64,65,0,0,0
64,CONTINUE,66,0,0,0,0
65,CONTINUE,66,0,0,0,0
66,CONTINUE,67,0,0,0,0
67,CHOICE,68,69,0,0,0
68,CONTINUE,70,0,0,0,0
69,CONTINUE,70,0,0,0,0
70,CONTINUE,71,0,0,0,0
71,CHOICE,72,73,0,0,0
72,CONTINUE,74,0,0,0,0
73,CONTINUE,74,0,0,0,0
74,CONTINUE,75,0,0,0,0
75,CHOICE,76,77,0,0,0
76,CONTINUE,78,0,0,0,0
77,CONTINUE,79,0,0,0,0
78,ENDING,0,0,0,0,0
79,ENDING,0,0,0,0,0
